"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"125","Darren Sproles","PHI","RB44","10","90","182","124.8","21.3","141.0","+16.0"
"126","Carson Palmer","ARI","QB18","8","71","171","127.5","18.8","152.0","+26.0"
"127","Jeremy Hill","CIN","RB45","6","74","221","131.3","31.2","133.0","+6.0"
"128","Rex Burkhead","NE","RB46","9","75","226","129.4","30.4","155.0","+27.0"
"129","Carson Wentz","PHI","QB19","10","102","194","131.7","19.6","145.0","+16.0"
"130","Jacquizz Rodgers","TB","RB47","11","90","220","132.9","29.5","130.0","0.0"
"131","Zay Jones","BUF","WR52","6","94","207","137.9","23.0","153.0","+22.0"
"132","Kevin White","CHI","WR53","9","77","230","136.0","26.5","158.0","+26.0"
"133","C.J. Prosise","SEA","RB48","6","76","230","134.2","26.8","138.0","+5.0"
"134","Coby Fleener","NO","TE14","5","98","214","135.9","21.5","161.0","+27.0"
"135","Tyrod Taylor","BUF","QB20","6","102","206","139.3","23.1","151.0","+16.0"
"136","Austin Hooper","ATL","TE15","5","99","201","140.2","23.2","162.0","+26.0"
"137","Jason Witten","DAL","TE16","6","93","210","141.5","23.8","142.0","+5.0"
"138","Denver Broncos","","DST1","5","91","281","144.5","32.2","103.0","-35.0"
"139","Sterling Shepard","NYG","WR54","8","97","225","146.5","22.3","144.0","+5.0"
"140","Robby Anderson","NYJ","WR55","11","76","226","142.6","24.5","166.0","+26.0"
"141","Samaje Perine","WAS","RB49","5","92","201","142.1","25.8","117.0","-24.0"
"142","Seattle Seahawks","","DST2","6","114","223","142.5","20.7","112.0","-30.0"
"143","Jamaal Williams","GB","RB50","8","95","228","145.2","27.8","134.0","-9.0"
"144","Cameron Brate","TB","TE17","11","97","205","146.6","26.6","170.0","+26.0"
"145","Houston Texans","","DST3","7","115","205","145.5","17.1","115.0","-30.0"
"146","Kenny Stills","MIA","WR56","11","92","224","153.7","23.3","184.0","+38.0"
"147","Jamaal Charles","DEN","RB51","5","103","239","148.4","30.4","148.0","+1.0"
"148","Kansas City Chiefs","","DST4","10","94","255","151.4","24.5","108.0","-40.0"
"149","Tyler Lockett","SEA","WR57","6","113","195","153.6","17.4","172.0","+23.0"
"150","Giovani Bernard","CIN","RB52","6","94","210","152.3","25.2","185.0","+35.0"
"151","Cole Beasley","DAL","WR58","6","66","255","158.7","37.2","154.0","+3.0"
"152","Latavius Murray","MIN","RB53","9","99","224","154.2","28.5","135.0","-17.0"
"153","C.J. Fiedorowicz","HOU","TE18","7","81","251","155.0","28.0","260.0","+107.0"
"154","Julius Thomas","MIA","TE19","11","103","257","156.6","29.0","178.0","+24.0"
"155","Sam Bradford","MIN","QB21","9","91","246","154.6","30.6","207.0","+52.0"
"156","Jay Cutler","MIA","QB22","11","103","226","157.1","28.0","201.0","+45.0"
"157","Minnesota Vikings","","DST5","9","124","207","157.1","16.5","119.0","-38.0"
"158","Josh Doctson","WAS","WR59","5","107","255","163.5","36.2","203.0","+45.0"
"159","Joe Flacco","BAL","QB23","10","97","245","158.6","26.9","202.0","+43.0"
"160","Antonio Gates","LAC","TE20","9","125","243","161.8","22.0","186.0","+26.0"
"161","Arizona Cardinals","","DST6","8","130","258","160.8","22.5","121.0","-40.0"
"162","Shane Vereen","NYG","RB54","8","56","264","163.8","36.9","237.0","+75.0"
"163","Alvin Kamara","NO","RB55","5","106","226","164.8","26.5","198.0","+35.0"
"164","Cooper Kupp","LAR","WR60","8","94","252","169.0","33.7","157.0","-7.0"
"165","Kendall Wright","CHI","WR61","9","97","256","168.8","32.3","190.0","+25.0"
"166","Chris Thompson","WAS","RB56","5","109","259","166.7","29.4","226.0","+60.0"
"167","New England Patriots","","DST7","9","120","208","167.1","19.6","125.0","-42.0"
"168","Devin Funchess","CAR","WR62","11","104","244","173.5","32.1","241.0","+73.0"
"169","Marqise Lee","JAC","WR63","8","99","246","175.9","29.2","229.0","+60.0"
"170","Stephen Gostkowski","NE","K1","9","109","216","166.6","14.3","100.0","-70.0"
"171","D'Onta Foreman","HOU","RB57","7","99","220","166.6","29.9","176.0","+5.0"
"172","Justin Tucker","BAL","K2","10","110","282","171.9","25.9","106.0","-66.0"
"173","DeAndre Washington","OAK","RB58","10","105","245","170.9","34.5","188.0","+15.0"
"174","Kenny Golladay","DET","WR64","7","116","250","171.3","30.2","175.0","+1.0"
"175","Taylor Gabriel","ATL","WR65","5","122","252","173.6","28.0","163.0","-12.0"
"176","Alex Smith","KC","QB24","10","111","240","170.7","26.1","200.0","+24.0"
"177","Wendell Smallwood","PHI","RB59","10","95","261","174.7","39.3","180.0","+3.0"
"178","Marlon Mack","IND","RB60","11","103","282","173.0","38.2","177.0","-1.0"
"179","J.J. Nelson","ARI","WR66","8","125","246","180.1","29.8","209.0","+30.0"
"180","Torrey Smith","PHI","WR67","10","100","280","179.5","40.7","228.0","+48.0"
"181","Breshad Perriman","BAL","WR68","10","115","229","177.2","26.9","218.0","+37.0"
"182","Dan Bailey","DAL","K3","6","128","219","175.8","15.1","131.0","-51.0"
"183","Evan Engram","NYG","TE21","8","92","236","179.1","26.7","195.0","+12.0"
"184","Mohamed Sanu","ATL","WR69","5","106","246","182.2","33.1","174.0","-10.0"
"185","Charles Clay","BUF","TE22","6","113","306","180.2","32.3","211.0","+26.0"
"186","Matt Bryant","ATL","K4","5","122","217","175.7","17.0","139.0","-47.0"
"187","Carolina Panthers","","DST8","11","144","211","178.0","17.2","150.0","-37.0"
"188","Dion Lewis","NE","RB61","9","111","241","180.0","28.2","204.0","+16.0"
"189","New York Giants","","DST9","8","140","234","178.4","20.6","143.0","-46.0"
"190","Charles Sims","TB","RB62","11","118","254","182.8","30.7","236.0","+46.0"
"191","Jared Cook","OAK","TE23","10","111","257","183.4","27.2","183.0","-8.0"
"192","Brian Hoyer","SF","QB25","11","119","324","184.7","38.9","305.0","+113.0"
"193","Blake Bortles","JAC","QB26","8","116","272","189.7","38.3","232.0","+39.0"
"194","Mason Crosby","GB","K5","8","153","233","184.6","18.5","137.0","-57.0"
"195","Jonathan Williams","FA","RB63","","112","255","174.8","43.5","169.0","-26.0"
"196","Robert Woods","LAR","WR70","8","118","249","192.2","30.5","269.0","+73.0"
"197","Danny Amendola","NE","WR71","9","113","256","188.4","32.8","194.0","-3.0"
"198","Paul Richardson","SEA","WR72","6","135","286","196.8","41.2","273.0","+75.0"
"199","O.J. Howard","TB","TE24","11","96","226","186.2","27.3","146.0","-53.0"
"200","John Ross","CIN","WR73","6","109","298","196.3","34.8","173.0","-27.0"
"201","Charcandrick West","KC","RB64","10","109","305","188.6","34.1","221.0","+20.0"
"202","Robert Turbin","IND","RB65","11","108","245","189.5","28.1","293.0","+91.0"
"203","Matt Breida","SF","RB66","11","123","337","184.9","45.2","314.0","+111.0"
"204","Adam Vinatieri","IND","K6","11","152","230","190.5","20.4","164.0","-40.0"
