"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"203","Robert Turbin","IND","RB65","11","112","283","197.7","41.6","277.0","+74.0"
"204","Paul Richardson","SEA","WR75","6","135","271","201.0","39.3","262.0","+58.0"
"205","Austin eferian-Jenkins NYJ S","TE26","11","140","264","194.0","32.0","261.0","+56.0"
"206","Chris Conley","KC","WR76","10","142","254","191.0","28.6","237.0","+31.0"
"207","Brian Hoyer","SF","QB26","11","135","242","193.5","27.3","245.0","+38.0"
"208","Jacksonville Jaguars","","DST10","8","146","235","193.1","23.9","183.0","-25.0"
"209","Charcandrick West","KC","RB66","10","116","276","196.3","38.3","196.0","-13.0"
"210","Adam Vinatieri","IND","K6","11","149","234","192.6","20.9","161.0","-49.0"
"211","T.J. Yeldon","JAC","RB67","8","130","271","202.3","36.9","214.0","+3.0"
"212","Allen Hurns","JAC","WR77","8","134","260","197.7","32.3","203.0","-9.0"
"213","Matt Breida","SF","RB68","11","124","320","210.0","55.0","310.0","+97.0"
"214","Los Angeles Rams","","DST11","8","153","238","192.5","19.5","185.0","-29.0"
"215","Chris Carson","SEA","RB69","6","137","278","203.6","48.0","250.0","+35.0"
"216","Malcolm Mitchell","NE","WR78","9","153","266","202.9","28.5","212.0","-4.0"
"217","Vance McDonald","PIT","TE27","9","142","274","206.0","33.7","300.0","+83.0"
"218","Marquise Goodwin","SF","WR79","11","137","275","205.4","40.6","294.0","+76.0"
"219","Matt Prater","DET","K7","7","154","267","206.9","27.5","181.0","-38.0"
"220","Zach Miller","CHI","TE28","9","87","255","209.3","37.5","302.0","+82.0"
"221","ArDarius Stewart","NYJ","WR80","11","155","257","202.2","30.6","199.0","-22.0"
"222","Dwayne Allen","NE","TE29","9","160","269","212.5","33.0","270.0","+48.0"
"223","Kyle Juszczyk","SF","RB70","11","92","411","218.9","75.7","252.0","+29.0"
"224","Mike Williams","LAC","WR81","9","131","281","216.4","41.6","239.0","+15.0"
"225","Cairo Santos","KC","K8","10","156","267","205.4","23.9","192.0","-33.0"
"226","Cincinnati Bengals","","DST12","6","147","260","209.2","29.6","230.0","+4.0"
"227","Tarik Cohen","CHI","RB71","9","124","290","215.6","48.3","258.0","+31.0"
"228","Philadelphia Eagles","","DST13","10","145","260","210.1","28.3","198.0","-30.0"
"229","Dustin Hopkins","WAS","K9","5","157","267","211.9","28.5","213.0","-16.0"
"230","De'Angelo Henderson","DEN","RB72","5","135","353","211.8","57.5","223.0","-7.0"
"231","Pittsburgh Steelers","","DST14","9","148","241","198.3","16.9","172.0","-59.0"
"232","Jerick McKinnon","MIN","RB73","9","141","273","212.6","35.2","275.0","+43.0"
"233","Will Fuller","HOU","WR82","7","115","268","217.8","36.2","246.0","+13.0"
"234","Devontae Booker","DEN","RB74","5","136","271","217.7","33.1","229.0","-5.0"
"235","Curtis Samuel","CAR","WR83","11","171","273","217.9","35.1","236.0","+1.0"
"236","Benjamin Watson","BAL","TE30","10","129","269","218.1","37.9","268.0","+32.0"
"237","Jeremy Kerley","FA","WR84","","55","279","204.0","65.9","326.0","+89.0"
"238","Baltimore Ravens","","DST15","10","158","257","204.1","21.0","195.0","-43.0"
"239","James Conner","PIT","RB75","9","124","284","218.0","35.7","215.0","-24.0"
"240","Trevor Siemian","DEN","QB27","5","146","249","208.6","21.9","297.0","+57.0"
"241","Jared Goff","LAR","QB28","8","142","247","213.5","24.2","295.0","+54.0"
"242","Jesse James","PIT","TE31","9","139","249","206.5","29.0","220.0","-22.0"
"243","Deshaun Watson","HOU","QB29","7","147","256","222.9","34.4","218.0","-25.0"
"244","Will Lutz","NO","K10","5","156","247","207.6","21.2","179.0","-65.0"
"245","Terrance Williams","DAL","WR85","6","130","262","211.7","33.0","329.0","+84.0"
"246","Jaron Brown","ARI","WR86","8","125","265","217.6","35.3","259.0","+13.0"
